"subject","blockcode","measure","condition","stimulusitem1","correct","latency"
4,"practice_DGMB","iat","DGMB","stupendo",1,1282
4,"practice_DGMB","iat","DGMB","fond3.jpg",1,1299
4,"practice_DGMB","iat","DGMB","meraviglioso",1,1435
4,"practice_DGMB","iat","DGMB","fond4.jpg",1,1089
4,"practice_DGMB","iat","DGMB","ridere",1,967
4,"practice_DGMB","iat","DGMB","fond5.jpg",1,648
4,"practice_DGMB","iat","DGMB","eccellente",1,967
4,"practice_DGMB","iat","DGMB","fond2.jpg",1,615
4,"practice_DGMB","iat","DGMB","pace",1,729
4,"practice_DGMB","iat","DGMB","latte7.jpg",1,642
4,"practice_DGMB","iat","DGMB","piacere",1,763
4,"practice_DGMB","iat","DGMB","latte3.jpg",1,1288
4,"practice_DGMB","iat","DGMB","disastro",1,1006
4,"practice_DGMB","iat","DGMB","fond7.jpg",1,838
4,"practice_DGMB","iat","DGMB","fastidioso",1,1013
4,"practice_DGMB","iat","DGMB","latte6.jpg",1,1414
4,"practice_DGMB","iat","DGMB","gioia",1,1542
4,"practice_DGMB","iat","DGMB","latte1.jpg",1,1265
4,"practice_DGMB","iat","DGMB","felicità",1,924
4,"practice_DGMB","iat","DGMB","fond1.jpg",1,1674
4,"test_DGMB","iat","DGMB","fond6.jpg",1,1161
4,"test_DGMB","iat","DGMB","bello",1,1088
4,"test_DGMB","iat","DGMB","latte5.jpg",1,1400
4,"test_DGMB","iat","DGMB","dolore",1,990
4,"test_DGMB","iat","DGMB","latte4.jpg",1,2369
4,"test_DGMB","iat","DGMB","agonia",1,886
4,"test_DGMB","iat","DGMB","latte2.jpg",1,790
4,"test_DGMB","iat","DGMB","amore",1,963
4,"test_DGMB","iat","DGMB","latte6.jpg",1,889
4,"test_DGMB","iat","DGMB","gloria",1,1215
4,"test_DGMB","iat","DGMB","latte2.jpg",1,776
4,"test_DGMB","iat","DGMB","nocivo",1,1089
4,"test_DGMB","iat","DGMB","latte7.jpg",1,866
4,"test_DGMB","iat","DGMB","fallimento",1,1134
4,"test_DGMB","iat","DGMB","fond5.jpg",1,822
4,"test_DGMB","iat","DGMB","orribile",1,1431
4,"test_DGMB","iat","DGMB","fond6.jpg",1,1026
4,"test_DGMB","iat","DGMB","brutto",1,814
4,"test_DGMB","iat","DGMB","fond1.jpg",1,1159
4,"test_DGMB","iat","DGMB","buono",1,1229
4,"test_DGMB","iat","DGMB","fond2.jpg",1,1153
4,"test_DGMB","iat","DGMB","paradiso",1,1108
4,"test_DGMB","iat","DGMB","fond4.jpg",1,639
