"respondent","condition","stimuli","accuracy","latency"
1,"Whitegood","hate",1,1224
1,"Whitegood","bf14",1,5160
1,"Whitegood","laughter",1,1214
1,"Whitegood","bf56",1,1143
1,"Whitegood","evil",1,827
1,"Whitegood","wf3",1,1859
1,"Whitegood","pain",1,876
1,"Whitegood","wm1",1,1002
1,"Whitegood","terrible",1,932
1,"Whitegood","bm14",1,912
1,"Whitegood","glory",1,1334
1,"Whitegood","bm56",1,682
1,"Whitegood","wicked",1,929
1,"Whitegood","wf6",1,580
1,"Whitegood","failure",1,743
1,"Whitegood","wf2",1,667
1,"Whitegood","annoying",1,762
1,"Whitegood","bm23",1,637
1,"Whitegood","wm4",1,867
1,"Whitegood","bf23",1,866
1,"Whitegood","good",1,1194
1,"Whitegood","bf56",1,659
1,"Whitegood","horrible",1,771
1,"Whitegood","wm6",1,694
1,"Whitegood","annoying",1,1124
1,"Whitegood","wf2",1,608
1,"Whitegood","peace",1,690
1,"Whitegood","wm4",1,888
1,"Whitegood","pleasure",1,743
1,"Whitegood","wf6",1,690
1,"Whitegood","joy",1,673
1,"Whitegood","wm1",1,975
1,"Whitegood","love",1,883
1,"Whitegood","bm56",1,881
1,"Whitegood","failure",1,679
1,"Whitegood","wf3",1,717
1,"Whitegood","hate",1,2235
1,"Whitegood","wm6",1,1235
1,"Whitegood","pain",1,796
1,"Whitegood","wm4",1,909
1,"Whitegood","laughter",1,867
1,"Whitegood","bf23",1,642
1,"Whitegood","good",1,914
1,"Whitegood","bm14",1,1407
1,"Whitegood","wicked",1,1185
1,"Whitegood","bm23",1,636
1,"Whitegood","horrible",1,852
1,"Whitegood","wf6",1,860
1,"Whitegood","evil",1,1739
1,"Whitegood","bf14",1,672
1,"Whitegood","bf56",1,609
1,"Whitegood","peace",1,1419
1,"Whitegood","wf2",1,884
1,"Whitegood","love",1,738
1,"Whitegood","bm14",1,1119
1,"Whitegood","pleasure",1,860
1,"Whitegood","bm56",1,699
1,"Whitegood","joy",1,1544
1,"Whitebad","laughter",1,3725
1,"Whitebad","wm1",1,1818
1,"Whitebad","glory",1,2204
1,"Whitebad","bf14",1,1350
1,"Whitebad","horrible",1,1978
1,"Whitebad","wf6",1,2324
1,"Whitebad","hate",1,1082
1,"Whitebad","bf23",1,1696
1,"Whitebad","peace",1,2255
1,"Whitebad","bm14",1,1335
1,"Whitebad","love",1,1499
1,"Whitebad","wm4",1,1137
1,"Whitebad","good",1,1078
1,"Whitebad","bm23",1,1068
1,"Whitebad","annoying",1,1875
1,"Whitebad","wf2",1,2346
1,"Whitebad","wicked",1,1654
1,"Whitebad","wf3",1,1702
1,"Whitebad","joy",1,1165
1,"Whitebad","wm6",1,960
1,"Whitebad","bm56",1,1259
1,"Whitebad","evil",1,1627
1,"Whitebad","wm4",1,1459
1,"Whitebad","failure",1,1315
1,"Whitebad","bf56",1,1352
1,"Whitebad","wm6",1,2047
1,"Whitebad","terrible",1,2119
1,"Whitebad","bf56",1,773
1,"Whitebad","pleasure",1,1512
1,"Whitebad","wm1",1,901
1,"Whitebad","love",1,987
1,"Whitebad","bm56",1,1045
1,"Whitebad","pain",1,1478
1,"Whitebad","bf14",1,1036
1,"Whitebad","peace",1,1228
1,"Whitebad","bf23",1,3293
1,"Whitebad","annoying",1,1588
1,"Whitebad","wf2",1,2127
1,"Whitebad","evil",1,1108
1,"Whitebad","wf6",1,937
1,"Whitebad","glory",1,966
1,"Whitebad","wf3",1,1064
1,"Whitebad","joy",1,1200
1,"Whitebad","bm23",1,1161
1,"Whitebad","bm14",1,940
1,"Whitebad","wicked",1,1080
1,"Whitebad","bf14",1,822
1,"Whitebad","pleasure",1,1048
1,"Whitebad","wf3",1,983
1,"Whitebad","hate",1,938
1,"Whitebad","wf2",1,902
1,"Whitebad","laughter",1,1004
1,"Whitebad","bf23",1,1173
1,"Whitebad","terrible",1,1032
1,"Whitebad","wm6",1,1673
1,"Whitebad","failure",1,1392
1,"Whitebad","bm23",1,906
1,"Whitebad","horrible",1,1224
2,"Whitegood","horrible",1,1362
2,"Whitegood","wf2",1,709
2,"Whitegood","pain",1,706
2,"Whitegood","wf6",1,528
2,"Whitegood","terrible",1,621
2,"Whitegood","bf14",1,598
2,"Whitegood","joy",1,480
2,"Whitegood","bf56",1,518
2,"Whitegood","wicked",1,507
2,"Whitegood","bm23",1,432
2,"Whitegood","failure",1,528
2,"Whitegood","wm4",1,485
2,"Whitegood","love",1,435
2,"Whitegood","bm14",1,507
2,"Whitegood","hate",1,633
2,"Whitegood","wf3",1,521
2,"Whitegood","evil",1,1038
2,"Whitegood","bm56",1,470
2,"Whitegood","annoying",1,645
2,"Whitegood","wm6",1,476
2,"Whitegood","wm1",1,798
2,"Whitegood","pleasure",1,504
