id	order	test	blocknum	trialnum	correct	latency
1	1	1	3	1	1	812
1	1	1	3	2	1	687
1	1	1	3	3	1	723
1	1	1	3	4	1	619
1	1	1	3	5	1	657
1	1	1	3	6	1	580
1	1	1	3	7	1	596
1	1	1	3	8	1	687
1	1	1	3	9	1	618
1	1	1	3	10	1	936
1	1	1	3	11	1	480
1	1	1	3	12	1	557
1	1	1	3	13	1	848
1	1	1	3	14	1	744
1	1	1	3	15	1	727
1	1	1	3	16	1	527
1	1	1	3	17	1	551
1	1	1	3	18	1	522
1	1	1	3	19	1	724
1	1	1	3	20	1	513
1	1	1	3	21	1	488
1	1	1	3	22	1	457
1	1	1	3	23	1	634
1	1	1	3	24	1	600
1	1	1	3	25	1	492
1	1	1	3	26	1	610
1	1	1	3	27	1	618
1	1	1	3	28	1	681
1	1	1	3	29	1	503
1	1	1	3	30	1	577
1	1	1	3	31	1	714
1	1	1	3	32	1	516
1	1	1	3	33	1	506
1	1	1	3	34	1	1019
1	1	1	3	35	1	616
1	1	1	3	36	1	907
1	1	1	3	37	1	606
1	1	1	3	38	1	484
1	1	1	3	39	1	506
1	1	1	3	40	1	887
1	1	1	3	41	1	536
1	1	1	3	42	1	575
1	1	1	3	43	1	569
1	1	1	3	44	1	575
1	1	1	3	45	1	688
1	1	1	3	46	1	750
1	1	1	3	47	1	372
1	1	1	3	48	1	526
1	1	2	4	1	1	576
1	1	2	4	2	1	486
1	1	2	4	3	1	495
1	1	2	4	4	1	580
1	1	2	4	5	1	529
1	1	2	4	6	1	609
1	1	2	4	7	1	515
1	1	2	4	8	1	491
1	1	2	4	9	1	555
1	1	2	4	10	1	563
1	1	2	4	11	1	555
1	1	2	4	12	1	553
1	1	2	4	13	1	507
1	1	2	4	14	1	553
1	1	2	4	15	1	617
1	1	2	4	16	1	573
1	1	2	4	17	1	593
1	1	2	4	18	1	499
1	1	2	4	19	1	543
1	1	2	4	20	1	715
1	1	2	4	21	1	569
1	1	2	4	22	1	522
1	1	2	4	23	1	566
1	1	2	4	24	1	947
1	1	2	4	25	1	447
1	1	2	4	26	1	531
1	1	2	4	27	1	718
1	1	2	4	28	1	505
1	1	2	4	29	1	645
1	1	2	4	30	1	583
1	1	2	4	31	0	1793
1	1	2	4	32	1	607
1	1	2	4	33	1	1115
1	1	2	4	34	1	705
1	1	2	4	35	1	552
1	1	2	4	36	1	573
1	1	2	4	37	1	499
1	1	2	4	38	1	547
1	1	2	4	39	1	650
1	1	2	4	40	1	532
1	1	2	4	41	1	612
1	1	2	4	42	1	674
1	1	2	4	43	1	620
1	1	2	4	44	1	510
1	1	2	4	45	1	620
1	1	2	4	46	1	616
1	1	2	4	47	1	477
1	1	2	4	48	1	633
1	1	1	6	1	1	693
1	1	1	6	2	1	1023
1	1	1	6	3	1	579
1	1	1	6	4	1	1463
1	1	1	6	5	1	891
1	1	1	6	6	0	1668
1	1	1	6	7	1	1388
1	1	1	6	8	0	1517
1	1	1	6	9	1	1403
1	1	1	6	10	1	1259
1	1	1	6	11	1	1090
1	1	1	6	12	0	1517
1	1	1	6	13	1	682
1	1	1	6	14	0	1484
1	1	1	6	15	1	1162
1	1	1	6	16	1	847
1	1	1	6	17	1	678
1	1	1	6	18	1	1224
1	1	1	6	19	1	819
1	1	1	6	20	1	883
1	1	1	6	21	1	866
1	1	1	6	22	1	574
1	1	1	6	23	1	685
1	1	1	6	24	0	1126
1	1	1	6	25	1	565
1	1	1	6	26	1	613
1	1	1	6	27	1	663
1	1	1	6	28	1	1558
1	1	1	6	29	1	555
1	1	1	6	30	0	1181
1	1	1	6	31	1	745
1	1	1	6	32	1	554
1	1	1	6	33	1	804
1	1	1	6	34	1	858
1	1	1	6	35	1	595
1	1	1	6	36	1	689
1	1	1	6	37	1	817
1	1	1	6	38	0	1406
1	1	1	6	39	0	2335
1	1	1	6	40	0	1970
1	1	1	6	41	1	1378
1	1	1	6	42	1	1143
1	1	1	6	43	1	1116
1	1	1	6	44	1	680
1	1	1	6	45	1	690
1	1	1	6	46	1	874
1	1	1	6	47	1	847
1	1	1	6	48	1	702
1	1	2	7	1	1	905
1	1	2	7	2	1	887
1	1	2	7	3	1	548
1	1	2	7	4	1	1160
1	1	2	7	5	1	954
1	1	2	7	6	1	844
1	1	2	7	7	1	607
1	1	2	7	8	1	688
1	1	2	7	9	1	551
1	1	2	7	10	1	855
1	1	2	7	11	1	576
1	1	2	7	12	1	993
1	1	2	7	13	1	607
1	1	2	7	14	1	633
1	1	2	7	15	1	601
1	1	2	7	16	1	625
1	1	2	7	17	1	663
1	1	2	7	18	1	609
1	1	2	7	19	1	659
1	1	2	7	20	1	806
1	1	2	7	21	1	566
1	1	2	7	22	1	706
1	1	2	7	23	1	804
1	1	2	7	24	1	672
1	1	2	7	25	1	578
1	1	2	7	26	1	1117
1	1	2	7	27	1	827
1	1	2	7	28	0	916
1	1	2	7	29	1	1000
1	1	2	7	30	1	773
1	1	2	7	31	1	594
1	1	2	7	32	1	1891
1	1	2	7	33	1	767
1	1	2	7	34	1	666
1	1	2	7	35	1	641
1	1	2	7	36	1	527
1	1	2	7	37	1	660
1	1	2	7	38	1	566
1	1	2	7	39	1	638
1	1	2	7	40	0	1196
1	1	2	7	41	1	1212
1	1	2	7	42	1	767
1	1	2	7	43	1	1135
1	1	2	7	44	1	1205
1	1	2	7	45	1	1970
1	1	2	7	46	0	1609
1	1	2	7	47	1	647
1	1	2	7	48	1	770
2	1	1	3	1	1	831
2	1	1	3	2	1	567
2	1	1	3	3	1	502
2	1	1	3	4	1	414
2	1	1	3	5	0	818
2	1	1	3	6	1	946
2	1	1	3	7	1	635
2	1	1	3	8	1	917
2	1	1	3	9	0	917
2	1	1	3	10	1	571
2	1	1	3	11	1	742
2	1	1	3	12	1	641
2	1	1	3	13	1	583
2	1	1	3	14	1	570
2	1	1	3	15	1	442
2	1	1	3	16	1	407
2	1	1	3	17	0	816
2	1	1	3	18	1	612
2	1	1	3	19	1	742
2	1	1	3	20	1	530
2	1	1	3	21	1	553
2	1	1	3	22	1	401
2	1	1	3	23	1	358
2	1	1	3	24	0	1475
2	1	1	3	25	1	899
2	1	1	3	26	1	584
2	1	1	3	27	1	1171
2	1	1	3	28	1	676
2	1	1	3	29	1	530
2	1	1	3	30	1	541
2	1	1	3	31	1	789
2	1	1	3	32	1	649
2	1	1	3	33	0	819
2	1	1	3	34	0	1194
2	1	1	3	35	1	1236
2	1	1	3	36	1	1043
2	1	1	3	37	0	1031
2	1	1	3	38	1	771
2	1	1	3	39	1	621
2	1	1	3	40	1	676
2	1	1	3	41	1	509
2	1	1	3	42	1	981
2	1	1	3	43	1	528
2	1	1	3	44	1	811
2	1	1	3	45	1	606
2	1	1	3	46	1	1100
2	1	1	3	47	1	761
2	1	1	3	48	1	853
2	1	2	4	1	1	639
2	1	2	4	2	1	472
2	1	2	4	3	1	485
2	1	2	4	4	1	562
2	1	2	4	5	1	471
2	1	2	4	6	1	443
2	1	2	4	7	1	440
2	1	2	4	8	1	528
2	1	2	4	9	0	748
2	1	2	4	10	1	717
2	1	2	4	11	1	543
2	1	2	4	12	1	428
2	1	2	4	13	1	413
2	1	2	4	14	1	1046
2	1	2	4	15	1	772
2	1	2	4	16	1	527
2	1	2	4	17	1	441
2	1	2	4	18	1	528
2	1	2	4	19	1	550
2	1	2	4	20	1	490
2	1	2	4	21	1	636
2	1	2	4	22	1	564
2	1	2	4	23	1	597
2	1	2	4	24	1	663
2	1	2	4	25	1	510
2	1	2	4	26	1	1071
2	1	2	4	27	1	594
2	1	2	4	28	1	905
2	1	2	4	29	1	704
2	1	2	4	30	1	457
2	1	2	4	31	1	870
2	1	2	4	32	1	482
2	1	2	4	33	1	583
2	1	2	4	34	1	501
2	1	2	4	35	0	1388
2	1	2	4	36	0	1115
2	1	2	4	37	1	719
2	1	2	4	38	1	963
2	1	2	4	39	1	553
2	1	2	4	40	1	442
2	1	2	4	41	0	1161
2	1	2	4	42	1	1384
2	1	2	4	43	1	543
2	1	2	4	44	1	798
2	1	2	4	45	1	910
2	1	2	4	46	1	441
2	1	2	4	47	1	513
2	1	2	4	48	0	980
2	1	1	6	1	1	2360
2	1	1	6	2	1	1234
2	1	1	6	3	1	659
2	1	1	6	4	1	761
2	1	1	6	5	1	580
2	1	1	6	6	1	923
2	1	1	6	7	1	895
2	1	1	6	8	0	951
2	1	1	6	9	1	1925
2	1	1	6	10	1	1255
2	1	1	6	11	0	1390
2	1	1	6	12	1	855
2	1	1	6	13	1	650
2	1	1	6	14	1	653
2	1	1	6	15	1	865
2	1	1	6	16	0	995
2	1	1	6	17	1	1565
2	1	1	6	18	1	896
2	1	1	6	19	1	757
2	1	1	6	20	1	774
2	1	1	6	21	1	911
