"respondent","condition","stimuli","accuracy","latency"
1,"WGBB","hate",1,1224
1,"WGBB","bf14",1,5160
1,"WGBB","laughter",1,1214
1,"WGBB","bf56",1,1143
1,"WGBB","evil",1,827
1,"WGBB","wf3",1,1859
1,"WGBB","pain",1,876
1,"WGBB","wm1",1,1002
1,"WGBB","terrible",1,932
1,"WGBB","bm14",1,912
1,"WGBB","glory",1,1334
1,"WGBB","bm56",1,682
1,"WGBB","wicked",1,929
1,"WGBB","wf6",1,580
1,"WGBB","failure",1,743
1,"WGBB","wf2",1,667
1,"WGBB","annoying",1,762
1,"WGBB","bm23",1,637
1,"WGBB","wm4",1,867
1,"WGBB","bf23",1,866
1,"WGBB","good",1,1194
1,"WGBB","bf56",1,659
1,"WGBB","horrible",1,771
1,"WGBB","wm6",1,694
1,"WGBB","annoying",1,1124
1,"WGBB","wf2",1,608
1,"WGBB","peace",1,690
1,"WGBB","wm4",1,888
1,"WGBB","pleasure",1,743
1,"WGBB","wf6",1,690
1,"WGBB","joy",1,673
1,"WGBB","wm1",1,975
1,"WGBB","love",1,883
1,"WGBB","bm56",1,881
1,"WGBB","failure",1,679
1,"WGBB","wf3",1,717
1,"WGBB","hate",1,2235
1,"WGBB","wm6",1,1235
1,"WGBB","pain",1,796
1,"WGBB","wm4",1,909
1,"WGBB","laughter",1,867
1,"WGBB","bf23",1,642
1,"WGBB","good",1,914
1,"WGBB","bm14",1,1407
1,"WGBB","wicked",1,1185
1,"WGBB","bm23",1,636
1,"WGBB","horrible",1,852
1,"WGBB","wf6",1,860
1,"WGBB","evil",1,1739
1,"WGBB","bf14",1,672
1,"WGBB","bf56",1,609
1,"WGBB","peace",1,1419
1,"WGBB","wf2",1,884
1,"WGBB","love",1,738
1,"WGBB","bm14",1,1119
1,"WGBB","pleasure",1,860
1,"WGBB","bm56",1,699
1,"WGBB","joy",1,1544
1,"BGWB","laughter",1,3725
1,"BGWB","wm1",1,1818
1,"BGWB","glory",1,2204
1,"BGWB","bf14",1,1350
1,"BGWB","horrible",1,1978
1,"BGWB","wf6",1,2324
1,"BGWB","hate",1,1082
1,"BGWB","bf23",1,1696
1,"BGWB","peace",1,2255
1,"BGWB","bm14",1,1335
1,"BGWB","love",1,1499
1,"BGWB","wm4",1,1137
1,"BGWB","good",1,1078
1,"BGWB","bm23",1,1068
1,"BGWB","annoying",1,1875
1,"BGWB","wf2",1,2346
1,"BGWB","wicked",1,1654
1,"BGWB","wf3",1,1702
1,"BGWB","joy",1,1165
1,"BGWB","wm6",1,960
1,"BGWB","bm56",1,1259
1,"BGWB","evil",1,1627
1,"BGWB","wm4",1,1459
1,"BGWB","failure",1,1315
1,"BGWB","bf56",1,1352
1,"BGWB","wm6",1,2047
1,"BGWB","terrible",1,2119
1,"BGWB","bf56",1,773
1,"BGWB","pleasure",1,1512
1,"BGWB","wm1",1,901
1,"BGWB","love",1,987
1,"BGWB","bm56",1,1045
1,"BGWB","pain",1,1478
1,"BGWB","bf14",1,1036
1,"BGWB","peace",1,1228
1,"BGWB","bf23",1,3293
1,"BGWB","annoying",1,1588
1,"BGWB","wf2",1,2127
1,"BGWB","evil",1,1108
1,"BGWB","wf6",1,937
1,"BGWB","glory",1,966
1,"BGWB","wf3",1,1064
1,"BGWB","joy",1,1200
1,"BGWB","bm23",1,1161
1,"BGWB","bm14",1,940
1,"BGWB","wicked",1,1080
1,"BGWB","bf14",1,822
1,"BGWB","pleasure",1,1048
1,"BGWB","wf3",1,983
1,"BGWB","hate",1,938
1,"BGWB","wf2",1,902
1,"BGWB","laughter",1,1004
1,"BGWB","bf23",1,1173
1,"BGWB","terrible",1,1032
1,"BGWB","wm6",1,1673
1,"BGWB","failure",1,1392
1,"BGWB","bm23",1,906
1,"BGWB","horrible",1,1224
